2026-04-15 06:23 | SIGNAL | IN/USDT LONG | grade=? conf=56.8 | entry=0.1062-0.1078 sl=0.0460 tp1=0.2711 tp2=0.5157 | rr=6.00 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=71 vol=72 flow=42 deriv=15 sent=65 corr=60 → REJECTED(AGG_THRESHOLD score=56.8<60)
2026-04-15 06:23 | SIGNAL | NEAR/USDT SHORT | grade=? conf=30.0 | entry=1.3446-1.3542 sl=1.3904 tp1=1.3084 tp2=1.2961 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:24 | SIGNAL | ADA/USDT SHORT | grade=? conf=41.2 | entry=0.2381-0.2395 sl=0.2444 tp1=0.2331 tp2=0.2314 | rr=1.30 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
2026-04-15 06:24 | SIGNAL | CRCL/USDT SHORT | grade=? conf=51.6 | entry=103.9848-104.7876 sl=108.3850 tp1=97.4644 tp2=96.2647 | rr=2.03 | strategy=PriceAction | regime=BULL_TREND | tech=52 vol=49 flow=37 deriv=48 sent=36 corr=60 → REJECTED(AGG_THRESHOLD score=51.6<60)
2026-04-15 06:24 | SIGNAL | ZAMA/USDT SHORT | grade=? conf=52.5 | entry=0.0302-0.0310 sl=0.0331 tp1=0.0259 tp2=0.0252 | rr=2.14 | strategy=PriceAction | regime=BULL_TREND | tech=52 vol=41 flow=34 deriv=60 sent=36 corr=60 → REJECTED(AGG_THRESHOLD score=52.5<60)
2026-04-15 06:24 | SIGNAL | APR/USDT LONG | grade=? conf=49.3 | entry=0.2010-0.2151 sl=0.1543 tp1=0.3006 tp2=0.4510 | rr=4.52 | strategy=WyckoffAccDist | regime=BULL_TREND | tech=68 vol=40 flow=50 deriv=15 sent=69 corr=60 → REJECTED(AGG_THRESHOLD score=49.3<60)
2026-04-15 06:24 | SIGNAL | BARD/USDT LONG | grade=B conf=75.4 | entry=0.2999-0.3009 sl=0.2907 tp1=0.3096 tp2=0.3229 | rr=2.32 | strategy=FundingRateArb | regime=BULL_TREND | tech=82 vol=26 flow=54 deriv=100 sent=89 corr=60 → APPROVED
2026-04-15 06:24 | SIGNAL | BZ/USDT SHORT | grade=? conf=47.9 | entry=90.4071-91.0300 sl=92.7869 tp1=87.8797 tp2=87.2592 | rr=1.67 | strategy=PriceAction | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.67<2.00)
2026-04-15 06:24 | SIGNAL | BLESS/USDT SHORT | grade=? conf=50.5 | entry=0.0236-0.0242 sl=0.0319 tp1=0.0175 tp2=0.0151 | rr=1.10 | strategy=FundingRateArb | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.10<1.50)
2026-04-15 06:24 | SIGNAL | 1000PEPE/USDT SHORT | grade=? conf=25.7 | entry=0.0036-0.0037 sl=0.0038 tp1=0.0035 tp2=0.0035 | rr=1.30 | strategy=SmartMoneyConcepts | regime=BULL_TREND | tech=0 vol=0 flow=0 deriv=0 sent=0 corr=0 → REJECTED(RR_FLOOR rr=1.30<2.00)
