2026-04-15 06:21:37 | WARNING  | analyzers.institutional_flow        | institutional_flow.py:1058 | Timeout: https://publicreporting.cftc.gov/api/odata/v1/CorpActions?$filter=Market_and_Exchange_Names eq 'BITCOIN - CHICAGO MERCANTILE EXCHANGE'&$orderby=Report_Date_as_YYYY_MM_DD desc&$top=1
2026-04-15 06:47:54 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: ON/USDT InstitutionalBreakout R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:48:15 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:48:31 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: TRADOOR/USDT PriceAction R/R=17.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:48:46 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT InstitutionalBreakout R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:49:51 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble ZEC/USDT SUPPRESS: score=-6.1 sup=0 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -6.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:49:55 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: RAVE/USDT SmartMoneyConcepts R/R=6.1R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:50:11 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: AKE/USDT SmartMoneyConcepts R/R=6.4R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:50:34 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: NOM/USDT PriceAction R/R=6.5R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:51:06 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble FET/USDT SUPPRESS: score=-4.7 sup=0 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (whale_flow, basis, onchain, whale_intent)
2026-04-15 06:51:21 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: ON/USDT InstitutionalBreakout R/R=6.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:51:43 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: VVV/USDT PriceAction R/R=7.6R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:51:57 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble BCH/USDT SUPPRESS: score=-5.1 sup=1 opp=3 adj=+0 | Ensemble SUPPRESS: weighted score -5.1 below -4.5 threshold (cvd(-3.6), onchain(-1.2), whale_intent(-1.3))
2026-04-15 06:52:00 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: TRADOOR/USDT PriceAction R/R=17.8R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-15 06:52:15 | WARNING  | signals.aggregator                  | aggregator.py:543 | ⚠️ RR sanity: IN/USDT InstitutionalBreakout R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
