2026-04-19 15:45:11 | WARNING  | signals.stablecoin_depeg            | stablecoin_depeg.py:183 | 💵 Stablecoin USDT: INIT → HEALTHY | price=1.0010 
2026-04-19 16:11:20 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: GIGGLE/USDT PriceAction R/R=31.2R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:11:49 | WARNING  | signals.ensemble_voter              | ensemble_voter.py:595 | Ensemble CFG/USDT SUPPRESS: score=-4.4 sup=0 opp=4 adj=+0 | Ensemble SUPPRESS: 4 sources oppose (basis, onchain, whale_intent, mining_health)
2026-04-19 16:12:00 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: ALICE/USDT SmartMoneyConcepts R/R=6.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:12:21 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: M/USDT SmartMoneyConcepts R/R=6.9R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:12:28 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PIEVERSE/USDT SmartMoneyConcepts R/R=6.7R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:12:54 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: BIO/USDT PriceAction R/R=11.9R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:12:54 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: MOVE/USDT SmartMoneyConcepts R/R=7.0R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:13:38 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: PROM/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
2026-04-19 16:13:59 | WARNING  | analyzers.market_microstructure     | market_microstructure.py:1053 | 🚨 PUMP/DUMP PUMP: 币安人生/USDT price=+4.3% volume=+178% risk=MEDIUM no_trade=False news_correlated=False
2026-04-19 16:13:59 | WARNING  | signals.aggregator                  | aggregator.py:636 | ⚠️ RR sanity: 币安人生/USDT SmartMoneyConcepts R/R=6.3R exceeds cap — TP levels may be miscalculated. Capping display at 6.0R.
